qid,gen,kind,nickname_audit,en,ja,zh_tw,zh_cn,maker,first_release,wikidata_url
Q186437,h,handheld,Game Boy,Game Boy,ゲームボーイ,Game Boy,Game Boy,Nintendo Research & Development 1,1989-04-21,https://www.wikidata.org/wiki/Q186437
Q203992,h,handheld,Game Boy Color,Game Boy Color,ゲームボーイカラー,Game Boy Color,Game Boy Color,Nintendo Research & Engineering Department,1998-10-21,https://www.wikidata.org/wiki/Q203992
Q188642,h,handheld,Game Boy Advance,Game Boy Advance,ゲームボーイアドバンス,Game Boy Advance,Game Boy Advance,,2001-03-21,https://www.wikidata.org/wiki/Q188642
Q170323,h,handheld,Nintendo DS,Nintendo DS,ニンテンドーDS,任天堂DS,任天堂DS,,2004-11-21,https://www.wikidata.org/wiki/Q170323
Q203597,h,handheld,Nintendo 3DS,Nintendo 3DS,ニンテンドー3DS,任天堂3DS,任天堂3DS,,2011-02-26,https://www.wikidata.org/wiki/Q203597
Q751719,h,handheld,Sega Game Gear,Game Gear,ゲームギア,Game Gear,Game Gear,,1990-10-06,https://www.wikidata.org/wiki/Q751719
Q170325,h,handheld,PlayStation Portable,PlayStation Portable,PlayStation Portable,PlayStation Portable,PlayStation Portable,Sony Interactive Entertainment,2004-12-12,https://www.wikidata.org/wiki/Q170325
Q188808,h,handheld,PlayStation Vita,PlayStation Vita,PlayStation Vita,PlayStation Vita,PlayStation Vita,Sony Interactive Entertainment,2011-12-17,https://www.wikidata.org/wiki/Q188808
Q1065792,h,handheld,WonderSwan,WonderSwan,ワンダースワン,WonderSwan,WonderSwan,Bandai,1999-03-04,https://www.wikidata.org/wiki/Q1065792
Q939881,h,handheld,Neo Geo Pocket,Neo Geo Pocket,ネオジオポケット,Neo Geo Pocket,Neo Geo Pocket,SNK,1998-10-28,https://www.wikidata.org/wiki/Q939881
Q336434,h,handheld,Nokia N-Gage,N-Gage,N-Gage,N-Gage,N-Gage,,2003-10-07,https://www.wikidata.org/wiki/Q336434
Q164651,h,handheld,Virtual Boy,Virtual Boy,バーチャルボーイ,Virtual Boy,Virtual Boy,Nintendo Research & Development 1,1995-07-21,https://www.wikidata.org/wiki/Q164651
Q753657,h,handheld,Atari Lynx,Atari Lynx,Atari Lynx,雅达利Lynx,雅达利Lynx,Atari Corporation,1989-09-01,https://www.wikidata.org/wiki/Q753657
Q966193,h,handheld,TurboExpress,TurboExpress,PCエンジンGT,PC Engine GT,PC Engine GT,NEC,1990-12-01,https://www.wikidata.org/wiki/Q966193
Q1475303,h,handheld,Microvision,Microvision,Microvision,Microvision,Microvision,Milton Bradley Company,1979-11-01,https://www.wikidata.org/wiki/Q1475303
Q2498396,h,handheld,Tiger Game.com,Game.com,game.com,,,Tiger Electronics,1997-01-01,https://www.wikidata.org/wiki/Q2498396
Q523532,h,handheld,Tapwave Zodiac,Tapwave Zodiac,,,,Tapwave,2003-01-01,https://www.wikidata.org/wiki/Q523532
